"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","14.03.2023 01:00 - 14.03.2023 02:00 (CET/CEST)","206","n/e","n/e","55","95","24","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","29","879","453"
"BZN|DK2","14.03.2023 02:00 - 14.03.2023 03:00 (CET/CEST)","231","n/e","n/e","51","87","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","28","898","449"
"BZN|DK2","14.03.2023 03:00 - 14.03.2023 04:00 (CET/CEST)","262","n/e","n/e","49","84","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","28","881","445"
"BZN|DK2","14.03.2023 04:00 - 14.03.2023 05:00 (CET/CEST)","298","n/e","n/e","50","87","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","28","881","429"
"BZN|DK2","14.03.2023 05:00 - 14.03.2023 06:00 (CET/CEST)","296","n/e","n/e","69","151","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","30","891","425"
"BZN|DK2","14.03.2023 06:00 - 14.03.2023 07:00 (CET/CEST)","295","n/e","n/e","84","184","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","32","900","419"
"BZN|DK2","14.03.2023 07:00 - 14.03.2023 08:00 (CET/CEST)","318","n/e","n/e","89","209","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","33","884","419"
"BZN|DK2","14.03.2023 08:00 - 14.03.2023 09:00 (CET/CEST)","306","n/e","n/e","90","220","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","63","32","897","408"
"BZN|DK2","14.03.2023 09:00 - 14.03.2023 10:00 (CET/CEST)","314","n/e","n/e","88","217","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","93","32","898","411"
"BZN|DK2","14.03.2023 10:00 - 14.03.2023 11:00 (CET/CEST)","306","n/e","n/e","84","211","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","96","39","895","365"
"BZN|DK2","14.03.2023 11:00 - 14.03.2023 12:00 (CET/CEST)","305","n/e","n/e","84","210","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","114","46","858","324"
"BZN|DK2","14.03.2023 12:00 - 14.03.2023 13:00 (CET/CEST)","301","n/e","n/e","80","205","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","191","45","795","285"
"BZN|DK2","14.03.2023 13:00 - 14.03.2023 14:00 (CET/CEST)","268","n/e","n/e","78","201","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","201","45","638","372"
"BZN|DK2","14.03.2023 14:00 - 14.03.2023 15:00 (CET/CEST)","211","n/e","n/e","80","204","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","199","45","570","433"
"BZN|DK2","14.03.2023 15:00 - 14.03.2023 16:00 (CET/CEST)","215","n/e","n/e","84","211","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","151","47","754","450"
"BZN|DK2","14.03.2023 16:00 - 14.03.2023 17:00 (CET/CEST)","214","n/e","n/e","84","211","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","113","49","794","439"
"BZN|DK2","14.03.2023 17:00 - 14.03.2023 18:00 (CET/CEST)","212","n/e","n/e","88","217","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","48","48","870","438"
"BZN|DK2","14.03.2023 18:00 - 14.03.2023 19:00 (CET/CEST)","209","n/e","n/e","88","219","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","48","910","435"
"BZN|DK2","14.03.2023 19:00 - 14.03.2023 20:00 (CET/CEST)","204","n/e","n/e","88","217","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","48","905","422"
"BZN|DK2","14.03.2023 20:00 - 14.03.2023 21:00 (CET/CEST)","240","n/e","n/e","87","216","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","48","910","408"
"BZN|DK2","14.03.2023 21:00 - 14.03.2023 22:00 (CET/CEST)","234","n/e","n/e","82","208","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","47","913","405"
"BZN|DK2","14.03.2023 22:00 - 14.03.2023 23:00 (CET/CEST)","230","n/e","n/e","83","210","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","39","910","380"
"BZN|DK2","14.03.2023 23:00 - 15.03.2023 00:00 (CET/CEST)","229","n/e","n/e","86","214","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","39","885","330"
"BZN|DK2","15.03.2023 00:00 - 15.03.2023 01:00 (CET/CEST)","277","n/e","n/e","71","187","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","37","862","240"
"BZN|DK2","15.03.2023 01:00 - 15.03.2023 02:00 (CET/CEST)","363","n/e","n/e","62","167","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","815","188"
"BZN|DK2","15.03.2023 02:00 - 15.03.2023 03:00 (CET/CEST)","382","n/e","n/e","59","163","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","35","714","152"
"BZN|DK2","15.03.2023 03:00 - 15.03.2023 04:00 (CET/CEST)","358","n/e","n/e","64","178","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","37","666","180"
"BZN|DK2","15.03.2023 04:00 - 15.03.2023 05:00 (CET/CEST)","382","n/e","n/e","68","183","29","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","692","229"
"BZN|DK2","15.03.2023 05:00 - 15.03.2023 06:00 (CET/CEST)","425","n/e","n/e","106","203","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","39","689","248"
"BZN|DK2","15.03.2023 06:00 - 15.03.2023 07:00 (CET/CEST)","445","n/e","n/e","113","214","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","36","578","275"
"BZN|DK2","15.03.2023 07:00 - 15.03.2023 08:00 (CET/CEST)","357","n/e","n/e","114","216","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","64","31","670","308"
"BZN|DK2","15.03.2023 08:00 - 15.03.2023 09:00 (CET/CEST)","418","n/e","n/e","111","211","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","180","31","697","353"
"BZN|DK2","15.03.2023 09:00 - 15.03.2023 10:00 (CET/CEST)","405","n/e","n/e","95","224","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","281","32","731","395"
"BZN|DK2","15.03.2023 10:00 - 15.03.2023 11:00 (CET/CEST)","429","n/e","n/e","100","225","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","325","33","713","383"
"BZN|DK2","15.03.2023 11:00 - 15.03.2023 12:00 (CET/CEST)","330","n/e","n/e","85","180","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","344","30","704","342"
"BZN|DK2","15.03.2023 12:00 - 15.03.2023 13:00 (CET/CEST)","266","n/e","n/e","86","178","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","381","25","689","322"
"BZN|DK2","15.03.2023 13:00 - 15.03.2023 14:00 (CET/CEST)","212","n/e","n/e","89","168","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","366","25","637","267"
"BZN|DK2","15.03.2023 14:00 - 15.03.2023 15:00 (CET/CEST)","253","n/e","n/e","90","170","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","340","27","553","293"
"BZN|DK2","15.03.2023 15:00 - 15.03.2023 16:00 (CET/CEST)","383","n/e","n/e","97","197","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","262","34","530","265"
"BZN|DK2","15.03.2023 16:00 - 15.03.2023 17:00 (CET/CEST)","389","n/e","n/e","92","212","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","121","33","446","194"
"BZN|DK2","15.03.2023 17:00 - 15.03.2023 18:00 (CET/CEST)","351","n/e","n/e","109","193","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22","32","418","172"
"BZN|DK2","15.03.2023 18:00 - 15.03.2023 19:00 (CET/CEST)","385","n/e","n/e","119","222","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","33","668","241"
"BZN|DK2","15.03.2023 19:00 - 15.03.2023 20:00 (CET/CEST)","371","n/e","n/e","123","230","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","34","501","303"
"BZN|DK2","15.03.2023 20:00 - 15.03.2023 21:00 (CET/CEST)","380","n/e","n/e","121","228","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","34","693","398"
"BZN|DK2","15.03.2023 21:00 - 15.03.2023 22:00 (CET/CEST)","440","n/e","n/e","89","217","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","33","838","434"
"BZN|DK2","15.03.2023 22:00 - 15.03.2023 23:00 (CET/CEST)","483","n/e","n/e","89","216","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","33","890","447"
"BZN|DK2","15.03.2023 23:00 - 16.03.2023 00:00 (CET/CEST)","483","n/e","n/e","87","212","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","33","902","439"
"BZN|DK2","16.03.2023 00:00 - 16.03.2023 01:00 (CET/CEST)","477","n/e","n/e","81","189","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","26","901","331"
"BZN|DK2","16.03.2023 01:00 - 16.03.2023 02:00 (CET/CEST)","350","n/e","n/e","81","166","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","24","848","248"
"BZN|DK2","16.03.2023 02:00 - 16.03.2023 03:00 (CET/CEST)","375","n/e","n/e","85","160","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","27","685","136"
"BZN|DK2","16.03.2023 03:00 - 16.03.2023 04:00 (CET/CEST)","463","n/e","n/e","96","173","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","33","532","60"
"BZN|DK2","16.03.2023 04:00 - 16.03.2023 05:00 (CET/CEST)","520","n/e","n/e","125","183","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","34","291","49"
"BZN|DK2","16.03.2023 05:00 - 16.03.2023 06:00 (CET/CEST)","524","n/e","n/e","127","201","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","34","120","44"
"BZN|DK2","16.03.2023 06:00 - 16.03.2023 07:00 (CET/CEST)","537","n/e","n/e","128","234","39","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","34","49","40"
"BZN|DK2","16.03.2023 07:00 - 16.03.2023 08:00 (CET/CEST)","551","n/e","n/e","133","233","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","67","34","5","42"
"BZN|DK2","16.03.2023 08:00 - 16.03.2023 09:00 (CET/CEST)","563","n/e","n/e","138","234","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","174","34","13","61"
"BZN|DK2","16.03.2023 09:00 - 16.03.2023 10:00 (CET/CEST)","559","n/e","n/e","126","230","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","270","35","31","93"
"BZN|DK2","16.03.2023 10:00 - 16.03.2023 11:00 (CET/CEST)","423","n/e","n/e","96","217","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","309","35","48","144"
"BZN|DK2","16.03.2023 11:00 - 16.03.2023 12:00 (CET/CEST)","506","n/e","n/e","94","189","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","324","35","97","208"
"BZN|DK2","16.03.2023 12:00 - 16.03.2023 13:00 (CET/CEST)","311","n/e","n/e","93","176","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","313","35","161","256"
"BZN|DK2","16.03.2023 13:00 - 16.03.2023 14:00 (CET/CEST)","340","n/e","n/e","93","176","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","265","35","179","284"
"BZN|DK2","16.03.2023 14:00 - 16.03.2023 15:00 (CET/CEST)","295","n/e","n/e","92","175","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","226","32","213","339"
"BZN|DK2","16.03.2023 15:00 - 16.03.2023 16:00 (CET/CEST)","355","n/e","n/e","92","175","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","174","35","378","379"
"BZN|DK2","16.03.2023 16:00 - 16.03.2023 17:00 (CET/CEST)","379","n/e","n/e","86","166","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","80","46","608","409"
"BZN|DK2","16.03.2023 17:00 - 16.03.2023 18:00 (CET/CEST)","510","n/e","n/e","92","175","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","47","813","441"
"BZN|DK2","16.03.2023 18:00 - 16.03.2023 19:00 (CET/CEST)","562","n/e","n/e","94","178","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","876","461"
"BZN|DK2","16.03.2023 19:00 - 16.03.2023 20:00 (CET/CEST)","551","n/e","n/e","94","178","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","876","472"
"BZN|DK2","16.03.2023 20:00 - 16.03.2023 21:00 (CET/CEST)","452","n/e","n/e","96","191","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","892","503"
"BZN|DK2","16.03.2023 21:00 - 16.03.2023 22:00 (CET/CEST)","512","n/e","n/e","93","220","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","40","911","524"
"BZN|DK2","16.03.2023 22:00 - 16.03.2023 23:00 (CET/CEST)","439","n/e","n/e","88","214","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","911","531"
"BZN|DK2","16.03.2023 23:00 - 17.03.2023 00:00 (CET/CEST)","302","n/e","n/e","75","172","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","34","914","490"
"BZN|DK2","17.03.2023 00:00 - 17.03.2023 01:00 (CET/CEST)","288","n/e","n/e","86","194","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","916","529"
"BZN|DK2","17.03.2023 01:00 - 17.03.2023 02:00 (CET/CEST)","271","n/e","n/e","90","200","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","908","517"
"BZN|DK2","17.03.2023 02:00 - 17.03.2023 03:00 (CET/CEST)","264","n/e","n/e","89","198","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","886","506"
"BZN|DK2","17.03.2023 03:00 - 17.03.2023 04:00 (CET/CEST)","260","n/e","n/e","89","199","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","893","473"
"BZN|DK2","17.03.2023 04:00 - 17.03.2023 05:00 (CET/CEST)","260","n/e","n/e","89","199","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","881","448"
"BZN|DK2","17.03.2023 05:00 - 17.03.2023 06:00 (CET/CEST)","296","n/e","n/e","89","198","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","36","867","441"
"BZN|DK2","17.03.2023 06:00 - 17.03.2023 07:00 (CET/CEST)","349","n/e","n/e","92","204","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","36","895","447"
"BZN|DK2","17.03.2023 07:00 - 17.03.2023 08:00 (CET/CEST)","432","n/e","n/e","94","208","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","18","36","897","422"
"BZN|DK2","17.03.2023 08:00 - 17.03.2023 09:00 (CET/CEST)","472","n/e","n/e","94","210","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","66","37","853","387"
"BZN|DK2","17.03.2023 09:00 - 17.03.2023 10:00 (CET/CEST)","461","n/e","n/e","95","211","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","136","37","813","378"
"BZN|DK2","17.03.2023 10:00 - 17.03.2023 11:00 (CET/CEST)","352","n/e","n/e","92","206","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","261","37","758","393"
"BZN|DK2","17.03.2023 11:00 - 17.03.2023 12:00 (CET/CEST)","284","n/e","n/e","91","205","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","278","44","692","392"
"BZN|DK2","17.03.2023 12:00 - 17.03.2023 13:00 (CET/CEST)","276","n/e","n/e","90","191","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","248","44","696","376"
"BZN|DK2","17.03.2023 13:00 - 17.03.2023 14:00 (CET/CEST)","324","n/e","n/e","80","151","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","221","44","675","343"
"BZN|DK2","17.03.2023 14:00 - 17.03.2023 15:00 (CET/CEST)","323","n/e","n/e","81","156","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","229","44","736","314"
"BZN|DK2","17.03.2023 15:00 - 17.03.2023 16:00 (CET/CEST)","307","n/e","n/e","83","178","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","188","45","744","260"
"BZN|DK2","17.03.2023 16:00 - 17.03.2023 17:00 (CET/CEST)","327","n/e","n/e","85","182","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","88","45","678","205"
"BZN|DK2","17.03.2023 17:00 - 17.03.2023 18:00 (CET/CEST)","357","n/e","n/e","101","197","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","45","664","199"
"BZN|DK2","17.03.2023 18:00 - 17.03.2023 19:00 (CET/CEST)","359","n/e","n/e","90","218","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","44","652","225"
"BZN|DK2","17.03.2023 19:00 - 17.03.2023 20:00 (CET/CEST)","359","n/e","n/e","96","231","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","719","246"
"BZN|DK2","17.03.2023 20:00 - 17.03.2023 21:00 (CET/CEST)","250","n/e","n/e","95","228","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","698","242"
"BZN|DK2","17.03.2023 21:00 - 17.03.2023 22:00 (CET/CEST)","235","n/e","n/e","89","216","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","705","226"
"BZN|DK2","17.03.2023 22:00 - 17.03.2023 23:00 (CET/CEST)","236","n/e","n/e","88","214","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","633","190"
"BZN|DK2","17.03.2023 23:00 - 18.03.2023 00:00 (CET/CEST)","236","n/e","n/e","89","215","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","555","133"
"BZN|DK2","18.03.2023 00:00 - 18.03.2023 01:00 (CET/CEST)","238","n/e","n/e","83","204","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","490","148"
"BZN|DK2","18.03.2023 01:00 - 18.03.2023 02:00 (CET/CEST)","242","n/e","n/e","81","191","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","586","134"
"BZN|DK2","18.03.2023 02:00 - 18.03.2023 03:00 (CET/CEST)","240","n/e","n/e","84","194","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","653","142"
"BZN|DK2","18.03.2023 03:00 - 18.03.2023 04:00 (CET/CEST)","237","n/e","n/e","82","192","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","564","160"
"BZN|DK2","18.03.2023 04:00 - 18.03.2023 05:00 (CET/CEST)","237","n/e","n/e","81","193","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","432","167"
"BZN|DK2","18.03.2023 05:00 - 18.03.2023 06:00 (CET/CEST)","237","n/e","n/e","83","210","27","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","520","180"
"BZN|DK2","18.03.2023 06:00 - 18.03.2023 07:00 (CET/CEST)","237","n/e","n/e","107","233","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","263","156"
"BZN|DK2","18.03.2023 07:00 - 18.03.2023 08:00 (CET/CEST)","238","n/e","n/e","106","222","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","45","331","140"
"BZN|DK2","18.03.2023 08:00 - 18.03.2023 09:00 (CET/CEST)","238","n/e","n/e","95","204","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","45","439","157"
"BZN|DK2","18.03.2023 09:00 - 18.03.2023 10:00 (CET/CEST)","240","n/e","n/e","91","194","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","81","44","506","155"
"BZN|DK2","18.03.2023 10:00 - 18.03.2023 11:00 (CET/CEST)","240","n/e","n/e","101","193","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","130","44","533","127"
"BZN|DK2","18.03.2023 11:00 - 18.03.2023 12:00 (CET/CEST)","238","n/e","n/e","93","192","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","167","44","499","121"
"BZN|DK2","18.03.2023 12:00 - 18.03.2023 13:00 (CET/CEST)","240","n/e","n/e","84","185","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","230","43","507","99"
"BZN|DK2","18.03.2023 13:00 - 18.03.2023 14:00 (CET/CEST)","240","n/e","n/e","88","180","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","231","44","438","83"
"BZN|DK2","18.03.2023 14:00 - 18.03.2023 15:00 (CET/CEST)","235","n/e","n/e","115","185","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","201","44","215","107"
"BZN|DK2","18.03.2023 15:00 - 18.03.2023 16:00 (CET/CEST)","241","n/e","n/e","124","194","36","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","127","44","227","103"
"BZN|DK2","18.03.2023 16:00 - 18.03.2023 17:00 (CET/CEST)","235","n/e","n/e","142","223","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","71","44","227","86"
"BZN|DK2","18.03.2023 17:00 - 18.03.2023 18:00 (CET/CEST)","232","n/e","n/e","160","211","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","46","196","90"
"BZN|DK2","18.03.2023 18:00 - 18.03.2023 19:00 (CET/CEST)","250","n/e","n/e","181","212","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","46","88","75"
"BZN|DK2","18.03.2023 19:00 - 18.03.2023 20:00 (CET/CEST)","259","n/e","n/e","181","212","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","73","50"
"BZN|DK2","18.03.2023 20:00 - 18.03.2023 21:00 (CET/CEST)","248","n/e","n/e","181","216","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","55","40"
"BZN|DK2","18.03.2023 21:00 - 18.03.2023 22:00 (CET/CEST)","243","n/e","n/e","157","241","41","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","46","6","34"
"BZN|DK2","18.03.2023 22:00 - 18.03.2023 23:00 (CET/CEST)","237","n/e","n/e","137","228","38","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","45","0","34"
"BZN|DK2","18.03.2023 23:00 - 19.03.2023 00:00 (CET/CEST)","240","n/e","n/e","101","221","37","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","1","34"
"BZN|DK2","19.03.2023 00:00 - 19.03.2023 01:00 (CET/CEST)","240","n/e","n/e","95","219","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","0","33"
"BZN|DK2","19.03.2023 01:00 - 19.03.2023 02:00 (CET/CEST)","240","n/e","n/e","93","217","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","4","33"
