"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)","213","n/e","n/e","63","169","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","868","379"
"BZN|DK2","01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)","138","n/e","n/e","66","174","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","888","382"
"BZN|DK2","01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","201","n/e","n/e","59","163","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","886","360"
"BZN|DK2","01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)","199","n/e","n/e","58","152","28","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","851","313"
"BZN|DK2","01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","200","n/e","n/e","56","151","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","752","260"
"BZN|DK2","02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","201","n/e","n/e","66","173","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","603","213"
"BZN|DK2","02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","162","n/e","n/e","67","176","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","476","193"
"BZN|DK2","02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","165","n/e","n/e","67","175","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","496","156"
"BZN|DK2","02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","166","n/e","n/e","68","175","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","508","151"
"BZN|DK2","02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","167","n/e","n/e","69","177","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","350","104"
"BZN|DK2","02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","272","n/e","n/e","68","181","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","361","92"
"BZN|DK2","02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","320","n/e","n/e","68","182","21","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","417","135"
"BZN|DK2","02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","328","n/e","n/e","69","183","26","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","633","207"
"BZN|DK2","02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","345","n/e","n/e","73","191","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","836","266"
"BZN|DK2","02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","342","n/e","n/e","73","192","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","67","905","277"
"BZN|DK2","02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","345","n/e","n/e","74","194","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","64","899","285"
"BZN|DK2","02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","326","n/e","n/e","105","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","17","66","906","280"
"BZN|DK2","02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","299","n/e","n/e","128","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","68","896","305"
"BZN|DK2","02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","310","n/e","n/e","135","195","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12","69","827","297"
"BZN|DK2","02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","298","n/e","n/e","136","195","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","11","68","868","306"
"BZN|DK2","02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","308","n/e","n/e","136","196","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","68","861","317"
"BZN|DK2","02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","311","n/e","n/e","139","200","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","69","837","281"
